WU_PRTNO,WU_DESC
571-073682-39632,"CONFIG,TM,VTM, 2300"
571-073682-39634,"CONFIG,TM,VTM, 2300"
571-073682-39735,"CONFIG,TM,VTM, 2300"
571-073682-39792,"CONFIG,TM,VTM, 2300"
571-073682-39867,"CONFIG,TM,VTM, 2300"
571-073682-40094,"CONFIG,TM,VTM, 2300"
571-073682-40095,"CONFIG,TM,VTM, 2300"
571-073682-40099,"CONFIG,TM,VTM, 2300"
571-073682-40101,"CONFIG,TM,VTM, 2300"
571-073682-40103,"CONFIG,TM,VTM, 2300"
571-073682-40171,"CONFIG,TM,VTM, 2300"
571-073682-40279,"CONFIG,TM,VTM, 2300"
571-073682-40280,"CONFIG,TM,VTM, 2300"
571-073682-40300,"CONFIG,TM,VTM, 2300"
571-073682-40304,"CONFIG,TM,VTM, 2300"
571-073682-40307,"CONFIG,TM,VTM, 2300"
571-073682-40311,"CONFIG,TM,VTM, 2300"
571-073682-40312,"CONFIG,TM,VTM, 2300"
571-073682-40314,"CONFIG,TM,VTM, 2300"
571-073682-40434,"CONFIG,TM,VTM, 2300"
571-073682-40501,"CONFIG,TM,VTM, 2300"
571-073682-40502,"CONFIG,TM,VTM, 2300"
571-073682-40504,"CONFIG,TM,VTM, 2300"
571-073682-40505,"CONFIG,TM,VTM, 2300"
571-073682-40507,"CONFIG,TM,VTM, 2300"
